from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLUEAC,940GZZLULBN,Elephant & Castle,Lambeth North,Bakerloo,Outbound,NB,NB
940GZZLUEAC,940GZZLUBOR,Elephant & Castle,Borough,Northern,Outbound,NB,NB
940GZZLUEAC,940GZZLUKNG,Elephant & Castle,Kennington,Northern,Inbound,SB,SB
940GZZLUEPK,940GZZLUDGE,Elm Park,Dagenham East,District,Inbound,WB,WB
940GZZLUEPK,940GZZLUHCH,Elm Park,Hornchurch,District,Outbound,EB,EB
940GZZLUEMB,940GZZLUWLO,Embankment,Waterloo,Bakerloo,Inbound,SB,SB
940GZZLUEMB,940GZZLUCHX,Embankment,Charing Cross,Bakerloo,Outbound,NB,NB
940GZZLUEMB,940GZZLUCHX,Embankment,Charing Cross,Northern,Outbound,NB,NB
940GZZLUEMB,940GZZLUWLO,Embankment,Waterloo,Northern,Inbound,SB,SB
940GZZLUEMB,940GZZLUWSM,Embankment,Westminster,District,Inbound,WB,WB
940GZZLUEMB,940GZZLUTMP,Embankment,Temple,District,Outbound,EB,EB
940GZZLUEMB,940GZZLUWSM,Embankment,Westminster,Circle,Outbound,OR,WB
940GZZLUEMB,940GZZLUTMP,Embankment,Temple,Circle,Inbound,IR,EB
940GZZLUEPG,940GZZLUTHB,Epping,Theydon Bois,Central,Inbound,WB,WB
940GZZLUEUS,940GZZLUKSX,Euston,King's Cross St Pancras,Victoria,Outbound,NB,NB
940GZZLUEUS,940GZZLUWRR,Euston,Warren Street,Victoria,Inbound,SB,SB
940GZZLUEUS,940GZZLUCTN,Euston,Camden Town,Northern,Outbound,NB,NB
940GZZLUEUS,940GZZLUMTC,Euston,Mornington Crescent,Northern,Outbound,NB,NB
940GZZLUEUS,940GZZLUWRR,Euston,Warren Street,Northern,Inbound,SB,SB
940GZZLUEUS,940GZZLUKSX,Euston,King's Cross St Pancras,Northern,Inbound,SB,SB
940GZZLUESQ,940GZZLUKSX,Euston Square,King's Cross St Pancras,Metropolitan,Outbound,SB,EB
940GZZLUESQ,940GZZLUGPS,Euston Square,Great Portland Street,Metropolitan,Inbound,NB,WB
940GZZLUESQ,940GZZLUKSX,Euston Square,King's Cross St Pancras,Hammersmith & City,Outbound,EB,EB
940GZZLUESQ,940GZZLUGPS,Euston Square,Great Portland Street,Hammersmith & City,Inbound,WB,WB
940GZZLUESQ,940GZZLUKSX,Euston Square,King's Cross St Pancras,Circle,Outbound,OR,EB
940GZZLUESQ,940GZZLUGPS,Euston Square,Great Portland Street,Circle,Inbound,IR,WB
940GZZLUFLP,940GZZLUBKE,Fairlop,Barkingside,Central,Inbound,WB,WB
940GZZLUFLP,940GZZLUHLT,Fairlop,Hainault,Central,Outbound,EB,EB
940GZZLUFCN,940GZZLUBBN,Farringdon,Barbican,Metropolitan,Outbound,SB,EB
940GZZLUFCN,940GZZLUKSX,Farringdon,King's Cross St Pancras,Metropolitan,Inbound,NB,WB
940GZZLUFCN,940GZZLUBBN,Farringdon,Barbican,Hammersmith & City,Outbound,EB,EB
940GZZLUFCN,940GZZLUKSX,Farringdon,King's Cross St Pancras,Hammersmith & City,Inbound,WB,WB
940GZZLUFCN,940GZZLUBBN,Farringdon,Barbican,Circle,Outbound,OR,EB
940GZZLUFCN,940GZZLUKSX,Farringdon,King's Cross St Pancras,Circle,Inbound,IR,WB
940GZZLUFYC,940GZZLUWFN,Finchley Central,West Finchley,Northern,Outbound,NB,NB
940GZZLUFYC,940GZZLUMHL,Finchley Central,Mill Hill East,Northern,Outbound,NB,NB
940GZZLUFYC,940GZZLUEFY,Finchley Central,East Finchley,Northern,Inbound,SB,SB
940GZZLUFYR,940GZZLUSWC,Finchley Road,Swiss Cottage,Jubilee,Outbound,EB,SB
940GZZLUFYR,940GZZLUWHP,Finchley Road,West Hampstead,Jubilee,Inbound,WB,NB
940GZZLUFYR,940GZZLUBST,Finchley Road,Baker Street,Metropolitan,Outbound,SB,SB
940GZZLUFYR,940GZZLUWYP,Finchley Road,Wembley Park,Metropolitan,Inbound,NB,NB
940GZZLUFPK,940GZZLUSVS,Finsbury Park,Seven Sisters,Victoria,Outbound,NB,NB
940GZZLUFPK,940GZZLUHAI,Finsbury Park,Highbury And Islington,Victoria,Inbound,SB,SB
940GZZLUFPK,940GZZLUASL,Finsbury Park,Arsenal,Piccadilly,Inbound,WB,SB
940GZZLUFPK,940GZZLUMRH,Finsbury Park,Manor House,Piccadilly,Outbound,EB,NB
940GZZLUFBY,940GZZLUPSG,Fulham Broadway,Parsons Green,District,Inbound,WB,WB
940GZZLUFBY,940GZZLUWBN,Fulham Broadway,West Brompton,District,Outbound,EB,EB
940GZZLUGTH,940GZZLURBG,Gants Hill,Redbridge,Central,Inbound,WB,WB
940GZZLUGTH,940GZZLUNBP,Gants Hill,Newbury Park,Central,Outbound,EB,EB
