unique_id,station_unique_id,line,mode,platform_number,platform_naptan_code,cardinal_direction,friendly_name,is_customer_facing,has_service_interchange,has_step_free_route_information,direction_towards,designated_level_access_point,level_access_by_manual_ramp,additional_accessibility_information
HUBPAD-Plat04-SB-bakerloo,HUBPAD,bakerloo,tube,4,9400ZZLUPAC1,Southbound,Southbound Platform 4,TRUE,FALSE,TRUE,,FALSE,TRUE,"For step-free access to the Bakerloo line, customers need to use the Eastbourne Terrace Elizabeth line station entrance which is open between 06:30 and 23:00 on Monday to Saturday (extended opening hours apply from Monday 5 September). It is not open on Sundays."
HUBPAD-Plat11-WB-elizabeth,HUBPAD,elizabeth,elizabeth-line,11,,Westbound,Westbound Platform 11,TRUE,FALSE,TRUE,Heathrow,FALSE,TRUE,
HUBPAD-Plat12-WB-elizabeth,HUBPAD,elizabeth,elizabeth-line,12,,Westbound,Westbound Platform 12,TRUE,FALSE,TRUE,Heathrow,FALSE,TRUE,
HUBPAD-Plat15-WB-circle|hammersmith-city,HUBPAD,circle,tube,15,9400ZZLUPAH1,Westbound,Westbound Platform 15,TRUE,TRUE,TRUE,Hammersmith,FALSE,FALSE,
HUBPAD-Plat16-EB-circle|hammersmith-city,HUBPAD,circle,tube,16,9400ZZLUPAH2,Eastbound,Eastbound Platform 16,TRUE,TRUE,TRUE,Edgware Road,FALSE,FALSE,
HUBPAD-PlatA-EB-elizabeth,HUBPAD,elizabeth,elizabeth-line,A,,Eastbound,Eastbound Platform A,TRUE,FALSE,TRUE,,TRUE,FALSE,
HUBPAD-PlatB-WB-elizabeth,HUBPAD,elizabeth,elizabeth-line,B,,Westbound,Westbound Platform B,TRUE,FALSE,TRUE,,TRUE,FALSE,
HUBQPW-Plat01-london-overground,HUBQPW,london-overground,overground,1,,,Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBQPW-Plat01-SB-bakerloo,HUBQPW,bakerloo,tube,1,9400ZZLUQPS2,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBQPW-Plat02-SB-bakerloo,HUBQPW,bakerloo,tube,2,9400ZZLUQPS2,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBQPW-Plat03-NB-bakerloo,HUBQPW,bakerloo,tube,3,9400ZZLUQPS1,Northbound,Northbound Platform 3,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBQPW-Plat04-london-overground,HUBQPW,london-overground,overground,4,,,Platform 4,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBRIC-Plat01-NB-metropolitan,HUBRIC,metropolitan,tube,1,9400ZZLURKW2,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBRIC-Plat02-SB-metropolitan,HUBRIC,metropolitan,tube,2,9400ZZLURKW1,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
HUBRMD-Plat03-EB-district|london-overground,HUBRMD,district,tube,3,9400ZZLURMD1,Eastbound,Eastbound Platform 3,TRUE,TRUE,TRUE,Upminster,FALSE,FALSE,
HUBRMD-Plat04-EB-district|london-overground,HUBRMD,district,tube,4,9400ZZLURMD1,Eastbound,Eastbound Platform 4,TRUE,TRUE,TRUE,Upminster,FALSE,FALSE,
