id,unique_id,name,latitude,longitude,total_lines,fare_zones
65,940GZZDLDEP,Deptford Bridge,51.474,-0.0216,1,2|3
66,940GZZDLDEV,Devons Road,51.5223,-0.0173,1,2
67,940GZZLUDOH,Dollis Hill,51.552,-0.2387,1,3
68,HUBEAL,Ealing Broadway,51.5152,-0.3017,2,3
69,940GZZLUECM,Ealing Common,51.5101,-0.2882,2,3
70,940GZZLUECT,Earl's Court,51.492,-0.1973,2,1|2
71,940GZZLUEAN,East Acton,51.5168,-0.2474,1,2
72,940GZZLUEFY,East Finchley,51.5874,-0.165,1,3
73,940GZZLUEHM,East Ham,51.5394,0.0518,2,3|4
74,940GZZDLEIN,East India,51.5093,-0.0021,1,2|3
75,940GZZLUEPY,East Putney,51.4586,-0.2112,1,2|3
76,940GZZLUEAE,Eastcote,51.5765,-0.397,2,5
77,940GZZLUEGW,Edgware,51.6137,-0.275,1,5
78,HUBEPH,Elephant & Castle,51.4943,-0.1001,2,1|2
79,940GZZLUEPK,Elm Park,51.5496,0.1977,1,6
80,940GZZDLELV,Elverson Road,51.4693,-0.0174,1,2|3
81,940GZZLUEMB,Embankment,51.5074,-0.1223,4,1
82,940GZZLUEPG,Epping,51.6937,0.1139,1,6
83,HUBEUS,Euston,51.5282,-0.1337,2,1
84,940GZZLUESQ,Euston Square,51.526,-0.1359,3,1
85,940GZZLUFLP,Fairlop,51.596,0.0912,1,4
86,HUBZFD,Farringdon,51.5203,-0.1053,3,1
87,940GZZLUFYC,Finchley Central,51.6012,-0.1932,1,4
88,940GZZLUFYR,Finchley Road,51.5472,-0.1803,2,2
89,HUBFPK,Finsbury Park,51.5642,-0.1065,1,2
90,940GZZLUFBY,Fulham Broadway,51.4804,-0.195,1,2
91,940GZZDLGAL,Gallions Reach,51.5096,0.0716,1,3
92,940GZZLUGTH,Gants Hill,51.5765,0.0663,1,4
93,940GZZLUGTR,Gloucester Road,51.4945,-0.1829,3,1
94,940GZZLUGGN,Golders Green,51.5724,-0.1941,1,3
95,940GZZLUGHK,Goldhawk Road,51.5018,-0.2267,1,2
96,940GZZLUGDG,Goodge Street,51.5205,-0.1347,1,1
97,940GZZLUGGH,Grange Hill,51.6132,0.0923,1,4
98,940GZZLUGPS,Great Portland Street,51.5238,-0.1439,3,1
99,940GZZLUGPK,Green Park,51.5067,-0.1428,3,1
100,HUBGFD,Greenford,51.5423,-0.3456,1,4
101,HUBGNW,Greenwich,51.4781,-0.0149,1,2|3
102,HUBGUN,Gunnersbury,51.4915,-0.2754,1,3
