entry_date_time,nlc,day,counts
2021-12-25 08:00,500,MTT,236.94444
2019-12-25 05:00,500,MTT,0.0
2020-12-25 20:45,500,MTT,15.0
2019-12-25 23:15,500,MTT,23.0
2020-12-25 18:30,500,MTT,42.1
2019-12-25 22:30,500,MTT,27.0
2021-12-25 18:30,500,MTT,114.833336
2019-12-25 20:00,500,MTT,55.0
2021-12-25 08:30,500,MTT,277.16666
2021-12-25 20:45,500,MTT,27.88889
2020-12-25 08:15,500,MTT,140.6
2019-12-25 05:45,500,MTT,30.0
2019-12-25 20:45,500,MTT,42.0
2019-12-25 21:30,500,MTT,41.0
2020-12-25 18:45,500,MTT,43.9
2020-12-25 20:00,500,MTT,17.2
2020-12-25 19:45,500,MTT,24.8
2019-12-25 21:00,500,MTT,38.0
2019-12-25 06:00,500,MTT,59.0
2019-12-25 19:00,500,MTT,97.0
2021-12-25 22:00,500,MTT,22.5
2020-12-25 00:00,500,MTT,3.7
2020-12-25 20:30,500,MTT,17.0
2021-12-25 23:15,500,MTT,18.11111
2021-12-25 00:00,500,MTT,6.388889
2020-12-25 08:30,500,MTT,118.9
2021-12-25 20:30,500,MTT,42.0
2021-12-25 19:45,500,MTT,37.77778
2019-12-25 22:15,500,MTT,31.0
2019-12-25 04:45,500,MTT,0.0
2021-12-25 18:45,500,MTT,93.05556
